Key,Array
B0000530HU,"[0.0, 0.0, -1.6543612251060553e-24, -6.938893903907228e-18, 1.734723475976807e-18, -6.938893903907228e-18, 0.0, 1.6940658945086007e-21, 1.6940658945086007e-21, -4.235164736271502e-22, 5.421010862427522e-20, -2.710505431213761e-20, -8.470329472543003e-22, -2.710505431213761e-20, 0.0, 0.0, 6.776263578034403e-21, 1.3552527156068805e-20, 0.0, 0.0]"
B00006L9LC,"[-4.440892098500626e-16, -1.7763568394002505e-15, -3.469446951953614e-18, 0.0, 3.552713678800501e-15, -7.105427357601002e-15, -1.7763568394002505e-15, 7.105427357601002e-15, 0.0, 0.0, -2.168404344971009e-19, -2.168404344971009e-19, 0.0, 2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19]"
B00021DJ32,"[0.0, 1.734723475976807e-18, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 1.3552527156068805e-20, -2.117582368135751e-22, 1.6940658945086007e-21, -2.710505431213761e-20, -2.710505431213761e-20, 0.0, 0.0, 0.0, 6.776263578034403e-21, -6.776263578034403e-21]"
B0002JHI1I,"[0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, -1.6940658945086007e-21, -1.0339757656912846e-25, 0.0, 6.776263578034403e-21, -5.421010862427522e-20, 3.3881317890172014e-21]"
B0006O10P4,"[0.0, -3.469446951953614e-18, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 5.551115123125783e-17, 0.0, 2.710505431213761e-20, -3.3881317890172014e-21, 0.0, -5.421010862427522e-20, -5.421010862427522e-20, 1.3234889800848443e-23, 0.0, 0.0, 0.0, -2.710505431213761e-20]"
B0009RF9DW,"[0.0, -1.7763568394002505e-15, -3.469446951953614e-18, -7.105427357601002e-15, 7.105427357601002e-15, 7.105427357601002e-15, 0.0, 3.552713678800501e-15, 0.0, 3.552713678800501e-15, -2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, -2.168404344971009e-19, -2.168404344971009e-19, 0.0, 0.0]"
B000FI4S1E,"[0.0, 0.0, -3.469446951953614e-18, -7.105427357601002e-15, -7.105427357601002e-15, 7.105427357601002e-15, 0.0, 3.552713678800501e-15, 0.0, 3.552713678800501e-15, 0.0, 0.0, -2.168404344971009e-19, 0.0, 4.336808689942018e-19, 0.0, 0.0, 2.168404344971009e-19, -4.336808689942018e-19, 0.0]"
B000FOI48G,"[0.0, -6.938893903907228e-18, 0.0, 0.0, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20]"
B000FTYALG,"[0.0, 0.0, -1.6543612251060553e-24, -6.938893903907228e-18, 1.734723475976807e-18, -6.938893903907228e-18, 0.0, 1.6940658945086007e-21, 1.6940658945086007e-21, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 2.710505431213761e-20, -4.235164736271502e-22, 0.0]"
B000GLRREU,"[0.0, -6.938893903907228e-18, 0.0, 0.0, 1.734723475976807e-18, 1.734723475976807e-18, 0.0, 6.776263578034403e-21, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -2.710505431213761e-20, -1.3552527156068805e-20]"
B000LIBUBY,"[0.0, -3.469446951953614e-18, 0.0, 0.0, -8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 3.3881317890172014e-21, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 5.421010862427522e-20, 0.0]"
B000NKJIXM,"[0.0, -1.3877787807814457e-17, 0.0, -6.938893903907228e-18, -3.469446951953614e-18, -1.1102230246251565e-16, 1.734723475976807e-18, 0.0, 1.3877787807814457e-17, 0.0, 0.0, 2.710505431213761e-20, 2.710505431213761e-20, 0.0, 0.0, 1.3234889800848443e-23, 0.0, 0.0, -1.0842021724855044e-19, 0.0]"
